Path,Black,White,Ratio
./Vanshita/3xShapes2/rectangle_angle_90_3x.png,225940,209978,1.0760174875463144
./Ashna/1xShapes/trapezium_angle_90.png,14861,15383,1.0351254962653926
./Ashna/1xShapes/parallelogram_angle_90.png,14548,15396,1.058289799285125
./Ashna/1xShapes/ellipse_angle_90.png,23335,23383,1.0020569959288623
./Ashna/1xShapes/circle.png,16309,14869,1.0968457865357455
./Ashna/1xShapes/rectangle_angle_0.png,24120,24177,1.002363184079602
./Ashna/1xShapes/rectangle_angle_90.png,24298,23849,1.0188267851901547
./Ashna/1xShapes/trapezium_angle_0.png,14800,15350,1.037162162162162
./Ashna/1xShapes/ellipse_angle_0.png,25127,21795,1.1528791007111723
./Ashna/1xShapes/parallelogram_angle_0.png,14351,15212,1.0599958191066825
./Ashna/1xShapes/square.png,16019,16082,1.0039328297646544
./Ashna/1xShapes2/trapezium_angle_90.png,16003,13761,1.1629242060896736
./Ashna/1xShapes2/parallelogram_angle_90.png,14837,14708,1.00877073701387
./Ashna/1xShapes2/ellipse_angle_90.png,23741,23189,1.023804390012506
./Ashna/1xShapes2/circle.png,15218,15981,1.0501379944802207
./Ashna/1xShapes2/rectangle_angle_0.png,24300,23828,1.0198086285042807
./Ashna/1xShapes2/rectangle_angle_90.png,24660,23980,1.0283569641367807
./Ashna/1xShapes2/trapezium_angle_0.png,16435,13546,1.2132732910084159
./Ashna/1xShapes2/ellipse_angle_0.png,24096,22656,1.0635593220338984
./Ashna/1xShapes2/parallelogram_angle_0.png,15745,14214,1.1077107077529196
./Ashna/1xShapes2/square.png,16200,16240,1.002469135802469
./Pavani/1xShapes/trapezium_angle_90.png,10066,19392,1.9264851976952115
./Pavani/1xShapes/parallelogram_angle_90.png,14584,14767,1.0125479978058145
./Pavani/1xShapes/ellipse_angle_90.png,23481,23240,1.010370051635112
./Pavani/1xShapes/circle.png,15907,15278,1.0411703102500327
./Pavani/1xShapes/rectangle_angle_0.png,24126,23641,1.0205152066325451
./Pavani/1xShapes/rectangle_angle_90.png,23626,24455,1.0350884618640481
./Pavani/1xShapes/trapezium_angle_0.png,15265,14446,1.0566938945036688
./Pavani/1xShapes/ellipse_angle_0.png,23628,23287,1.014643363249882
./Pavani/1xShapes/parallelogram_angle_0.png,14735,14808,1.0049541907024093
./Pavani/1xShapes/square.png,15962,15786,1.0111491194729507
./Pavani/1xShapes2/trapezium_angle_90.png,15107,14673,1.0295781367136918
./Pavani/1xShapes2/parallelogram_angle_90.png,18666,10931,1.7076205287713841
./Pavani/1xShapes2/ellipse_angle_90.png,24781,21911,1.1309844370407558
./Pavani/1xShapes2/circle.png,16299,14735,1.1061418391584663
./Pavani/1xShapes2/rectangle_angle_0.png,24685,23250,1.061720430107527
./Pavani/1xShapes2/rectangle_angle_90.png,30891,17054,1.811363902896681
./Pavani/1xShapes2/trapezium_angle_0.png,17724,12166,1.4568469505178365
./Pavani/1xShapes2/ellipse_angle_0.png,24989,21759,1.1484443218897926
./Pavani/1xShapes2/parallelogram_angle_0.png,18181,11535,1.576159514521023
./Pavani/1xShapes2/square.png,15840,16576,1.0464646464646465
./Rhythm/3xShapes/circle_3x.png,183848,98273,1.8707885177006909
./Rhythm/3xShapes/square_3x.png,135243,155404,1.1490724104020171
./Rhythm/3xShapes/ellipse_angle_90_3x.png,249296,173669,1.435466318110889
./Rhythm/3xShapes/rectangle_angle_0_3x.png,221064,214026,1.032883855232542
./Rhythm/3xShapes/ellipse_angle_0_3x.png,277847,145437,1.91042857044631
./Rhythm/3xShapes/trapezium_angle_0_3x.png,151025,118204,1.2776640384420155
./Rhythm/3xShapes/parallelogram_angle_0_3x.png,152781,116153,1.3153426945494304
./Rhythm/3xShapes/parallelogram_angle_90_3x.png,80703,188656,2.337657831803031
